objectid,id,hash,matricula,cnm,cns,municipio_cod_ibge,lon,lat
207889,857279,a169b303a4a5194d383ebafb025dd73bdb6ecb3d198c8b9408120a57456da323,0018468,1591862001846857,159186,4115200,-51.95605399999994,-23.42766599999993
207890,857280,b86a6cd12b4080e0b4d0960df996d5721b1c6235e7ca7160e3c5b63af52edcb0,0016059,1591862001605909,159186,4115200,-51.93538149999995,-23.42344559999998
207891,857282,97348154ba545683cb276b94f3ef6e4ad05936d906207196945c871b1ae69141,0018499,1591862001849961,159186,4115200,-51.91653329999997,-23.380015499999956
207892,857283,92fdcf55f2c8e37c8c56cdfd07129302dfbfbd18bb5f758a5641792444b0274e,0009111,1591862000911195,159186,4115200,-51.936098399999935,-23.424010099999975
207893,857284,9063bf5345a0e4e5503387c761d96aa4ab37173de2af713012bbd3306e4024b1,0009360,1591862000936027,159186,4115200,-51.95522619999997,-23.434282399999972
207894,857285,b143d1dcc457c84496d5b7d84dff60c9af30c66681c640f4d94afcbae242ef61,0005432,1591862000543274,159186,4115200,-51.949149199999965,-23.419943399999966
207895,857290,9798cb14b8b74b25f0729ee2a2946e42ae2c07fe23301a3665a4005bc7b78553,0018506,1591862001850640,159186,4115200,-51.93175599999995,-23.38537199999996
207896,857291,69cd72e04c025dbd8f44fd45bec974c4c63cdf242f03937e84b6461f3c366c99,0018503,1591862001850349,159186,4115200,-51.919114899999954,-23.383267399999966
207897,857292,d3fccfe6afc135ff098a2f5a467094f66f886cf6a0b2c1916b7fa883ac9fd990,0015186,1591862001518609,159186,4115200,-51.923325799999986,-23.376797299999964
207898,857294,1990b94b1cfc986fe2084edc0f7a9ae9c71fa62a9152ed7af3f109b7623b48f7,0006364,1591862000636491,159186,4115200,-51.978605399999935,-23.410045099999934
207899,857295,a6b864059358f3b24bdb10bae9f1dacd1095defe3e7aa13177ad89782906ea28,0016745,1591862001674585,159186,4115200,-51.98839809999998,-23.399562899999978
207901,857301,dbb2b11b7b5d74d42302477ccc9ab111169cc2ccdaa08b11d899f759fa76fcb0,0005519,1591862000551907,159186,4115200,-51.949149199999965,-23.419943399999966
207902,857302,90cb5bfa84d8c8f3a8d1566970d06d33475e8611ab780e61cfb912c10c25d8ce,0017440,1591862001744037,159186,4115200,-51.933740899999975,-23.37679399999996
207903,857304,7379d43183ba7e3ee1cffb003a606e4833cff018d670315e0eb5264549d4d53a,0018444,1591862001844432,159186,4115200,-51.92899019999993,-23.371043499999928
207904,857307,eb58ad79ecfa1ba16fbb9734110d34638f9288360911f9b5ecc841e59fea8d31,0002755,1591862000275554,159186,4115200,-51.926737499999945,-23.37827999999996
207905,857311,da4bc9b88cd730fde41df7dd0c28732be52bba7162c359b7e05bafcd4635541d,0009070,1591862000907024,159186,4115200,-51.933002999999985,-23.422817299999963
207906,857316,d6fcee064431a695482903b8dbf99261c6f94eb92cafd9f3f98cf6d01bd0ca06,0015050,1591862001505029,159186,4115200,-51.978704499999935,-23.444223499999964
207907,857317,75fb3e61ab1e643df362276ba28d16496f17e54751e2910d35e3ecd102aa24ca,0014014,1591862001401433,159186,4115200,-51.932156299999974,-23.369713699999977
